"","fn","temp","rep","row","col","Strain","PMY","maxGrowth","pointOfMaxGrowthRate","maxOD"
"846","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"E",6,"YJM1242",1533,4.99475903617876e-05,89,1.704
"847","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"E",7,"YJM1293",1541,5.74648008564711e-05,99,1.658
"848","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"E",8,"YJM1341",1549,5.56767862509554e-05,106,1.66
"849","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"E",9,"YJM1387",1557,5.33203707947764e-05,14,1.599
"850","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"E",10,"YJM1417",1565,5.87541472011574e-05,45,1.649
"851","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"E",11,"YJM1447",1573,5.88212533563968e-05,97,1.665
"852","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"E",12,"YJM1552",1587,4.17183574580709e-05,24,1.646
"853","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"F",1,"YJM248",1494,5.97640019886577e-05,138,1.684
"854","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"F",2,"YJM453",1502,5.13786852528849e-05,91,1.696
"855","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"F",3,"YJM682",1510,4.54494910353954e-05,72,1.688
"856","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"F",4,"YJM981",1518,5.16520813730424e-05,162,1.629
"857","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"F",5,"YJM1083",1526,3.85219146414838e-05,61,1.632
"858","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"F",6,"YJM1244",1534,4.95352479607439e-05,141,1.647
"859","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"F",7,"YJM1304",1542,5.37289225533249e-05,11,1.567
"860","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"F",8,"YJM1342",1550,5.51108999056403e-05,158,1.646
"861","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"F",10,"YJM1418",1566,5.05200914631366e-05,12,1.654
"862","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"F",11,"YJM1450",1574,4.92003116279364e-05,104,1.619
"863","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"G",1,"YJM270",1495,4.81915881846519e-06,15,0.4
"864","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"G",2,"YJM456",1503,5.75067741393999e-05,109,1.7
"865","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"G",3,"YJM683",1511,5.87749119124175e-05,153,1.644
"866","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"G",4,"YJM984",1519,4.56722582855894e-05,128,1.651
"867","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"G",5,"YJM1129",1527,5.24260341014351e-05,75,1.645
"868","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"G",6,"YJM1248",1535,4.57366252800731e-05,41,1.675
"869","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"G",7,"YJM1307",1543,5.77718878846163e-05,19,1.651
"870","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"G",8,"YJM1355",1551,1.26218858649413e-05,17,0.764
"871","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"G",9,"YJM1389",1559,4.35953501949767e-05,60,1.678
"872","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"G",11,"YJM1460",1575,4.85097458614579e-05,87,1.619
"873","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"G",12,"YJM1526",1583,5.61922437395771e-05,60,1.653
"874","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"H",1,"YJM271",1496,4.5953612547106e-05,65,1.576
"875","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"H",2,"YJM470",1504,4.92911200420107e-05,53,1.749
"876","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"H",3,"YJM689",1512,5.52931173261046e-05,104,1.722
"877","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"H",4,"YJM987",1520,1.52439327409179e-05,133,1.587
"878","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"H",5,"YJM1133",1528,5.9751721752133e-05,65,1.756
"879","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"H",7,"YJM1311",1544,6.10715305634884e-05,29,1.577
"880","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"H",8,"YJM1356",1552,6.23061250253482e-05,123,1.729
"881","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"H",9,"YJM1399",1560,6.19640469708868e-05,24,1.703
"882","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"H",10,"YJM1433",1568,3.94128760950489e-05,40,1.637
"883","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"H",11,"YJM1463",1576,4.57499096152184e-05,78,1.657
"884","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"H",12,"YJM1527",1584,5.44328176027557e-05,32,1.656
"885","2015_screening_for_TS/20150121_35half_rep3.asc",35.5,3,"A",1,"YJM145",1489,5.87137387558793e-05,180,1.658
"886","2015_screening_for_TS/20150121_35half_rep3.asc",35.5,3,"A",2,"YJM320",1497,6.20601408502335e-05,95,1.656
"887","2015_screening_for_TS/20150121_35half_rep3.asc",35.5,3,"A",3,"YJM541",1505,5.75286050570339e-05,129,1.688
"888","2015_screening_for_TS/20150121_35half_rep3.asc",35.5,3,"A",4,"YJM693",1513,3.948771349667e-05,154,1.354
"889","2015_screening_for_TS/20150121_35half_rep3.asc",35.5,3,"A",5,"YJM990",1521,5.21325812669933e-05,7,1.7
"890","2015_screening_for_TS/20150121_35half_rep3.asc",35.5,3,"A",6,"YJM1190",1529,4.71418865509882e-05,85,1.465
"891","2015_screening_for_TS/20150121_35half_rep3.asc",35.5,3,"A",7,"YJM1252",1537,4.52518672305655e-05,96,1.599
"892","2015_screening_for_TS/20150121_35half_rep3.asc",35.5,3,"A",8,"YJM1326",1545,6.04503365014497e-05,58,1.73
